RA_deg,Dec_deg,Gaia_magnitude
11.181259,48.284383,4.36
230.844407,-59.320698,4.36
346.67003,-23.743117,4.36
345.969194,3.82007,4.36
66.586132,15.618346,4.36
246.025822,-20.037211,4.36
151.857188,35.244692,4.37
100.997059,13.228143,4.37
316.782023,-25.005748,4.37
118.161055,-38.862822,4.37
355.512007,1.780417,4.37
355.680354,-14.544742,4.37
326.035019,28.743222,4.37
30.489791,70.907046,4.37
108.140587,-46.759564,4.37
220.181504,16.418301,4.37
68.377623,-29.765832,4.37
359.978792,-65.577078,4.37
84.796441,4.121467,4.38
322.180483,-21.807167,4.38
333.469589,39.714889,4.38
176.996777,20.218941,4.38
317.398303,-11.371655,4.38
332.095638,-32.988398,4.38
131.67733,-56.769797,4.38
87.45657,-56.166489,4.38
206.816819,17.456774,4.38
303.942323,27.814228,4.38
155.228396,-56.043224,4.38
340.12826,44.276281,4.38
142.311406,-35.951348,4.39
87.293581,39.181133,4.39
300.704363,67.873449,4.39
358.595989,57.499391,4.39
17.914945,30.08973,4.39
311.009111,-51.920841,4.39
324.270095,-19.466014,4.39
4.582106,36.785327,4.39
235.387885,19.670506,4.39
336.832805,-64.966379,4.39
290.431758,-15.955002,4.4
226.111905,26.94766,4.4
311.338319,57.580298,4.4
272.807401,-45.954327,4.4
41.976839,29.247424,4.4
337.621923,43.12339,4.4
201.001847,-64.535617,4.4
200.658249,-60.988356,4.4
214.777508,-13.371166,4.4
322.486999,23.638829,4.4
311.852196,36.490737,4.41
213.370625,51.789991,4.41
348.137179,49.405975,4.41
266.890113,-27.830763,4.41
90.013939,-3.074077,4.41
261.658063,-5.086492,4.41
12.453457,41.078955,4.41
114.342167,-34.96857,4.41
7.88898,-62.96545,4.41
230.789014,-36.858436,4.42
346.751066,9.409523,4.42
79.54395,33.372004,4.42
143.555737,36.397613,4.42
352.288585,12.760492,4.42
98.764083,-22.964833,4.42
228.055467,-19.791631,4.42
142.995561,-1.184654,4.42
143.620699,69.830154,4.42
222.847018,19.100633,4.42
299.23677,-27.169863,4.42
105.016033,76.977442,4.43
233.971938,-44.958337,4.43
52.478108,58.878752,4.43
245.159098,-24.169284,4.43
272.020679,-28.457016,4.43
325.479484,71.311187,4.43
335.256368,46.536565,4.43
0.934885,-17.33597,4.43
148.026501,54.064286,4.43
336.129149,49.476401,4.43
76.101299,-35.482871,4.43
112.449092,12.006611,4.43
168.801013,23.095525,4.44
263.915047,-46.505591,4.44
316.650367,47.648406,4.44
313.03219,27.097128,4.44
136.63245,38.45225,4.44
88.331848,27.612285,4.44
216.534313,-45.22139,4.44
42.878462,35.059894,4.44
283.687005,22.645074,4.45
246.353873,14.033415,4.45
54.273659,-40.274511,4.45
246.396338,-23.447118,4.45
298.365337,24.079526,4.45
287.087221,-40.496638,4.45
198.073455,-59.920537,4.46
147.919535,-46.547644,4.46
83.846507,-4.83834,4.46
